Bar,166
Music Venue,153
American,78
Seafood,53
Cafs,51
Delis + Sandwiches,44
Pizza,40
Mexican,38
Sports Bar,34
Breakfast,34
Pubs + Taverns,30
Bakeries,27
Modern American,26
Sushi + Japanese,23
Italian,23
Barbecue,23
New Southern,22
Ice Cream + Frozen Yogurt,21
Coffee + Tea Shops,20
Gourmet Groceries,20
Store,18
Southern,17
Burgers,16
Thai + Vietnamese,14
Chicken,13
Mediterranean,13
Food Trucks,13
English + Irish,12
Fusion + Eclectic,10
Karaoke,10
Soul Food,10
Tapas Bar,9
Steakhouse,9
Chinese,9
Vegetarian + Organic,8
Greek,8
Asian Fusion,8
Wine &amp; Cheese Shop,7
Cocktail Bar,7
Hot Dog Joints,7
Wine Bar,6
Restaurants + Bars,6
Open Mic,6
Dance Club,6
French,5
Caribbean,4
Bagels,4
Local Foods,3
Indian,3
General Location,3
Dessert Bar,3
Caterers,2
Korean,2
Fondue,1
Trivia,1
Cajun,1
Seafood Suppliers,1
School,1
Gallery,1
Sports Venue,1
Retail,1
Stands, Stores, &amp; Markets,1